"year","country","Military_Expenditure_Billion_USD","Active_Personnel","GDP_Growth_Percent","Inflation_Rate_Percent","Conflict_Severity_Index","Significant_Event","Exports_pct_GDP","FDI_net_inflows_pct_GDP","GDP_current_USD","GDP_growth_annual_pct","GDP_per_capita_current_USD","Imports_pct_GDP","Inflation_consumer_prices_annual_pct","Life_expectancy_years","Unemployment_total_pct","Brent_Oil_Price_USD_per_barrel","periode"
1967,"USA",135.28,1421626,-2.74,5.47,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1968,"USA",132.15,3e+06,-0.34,6.13,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1969,"USA",135.59,3e+06,-0.34,3.57,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1970,"USA",163.54,3e+06,3.91,4.08,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1971,"USA",172.49,3e+06,2.29,0.13,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1972,"USA",171.54,3e+06,1.1,2.02,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1973,"USA",161.66,3e+06,3.09,3.78,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1974,"USA",171.9,1436602,-0.33,9.74,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1975,"USA",183.81,1497271,2.18,4.21,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1976,"USA",139.38,1351005,2.46,2.02,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1977,"USA",160.12,1393264,1.62,2.75,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1978,"USA",153.8,1477789,2.43,0.51,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1979,"USA",176.35,1370467,2.07,8.93,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1980,"USA",176.66,1498935,3.21,10.93,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1981,"USA",170.98,1380623,1.61,4.13,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1982,"USA",197.73,1315708,1.67,5.57,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1983,"USA",193.26,1442483,0.38,4.42,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1984,"USA",189.33,1400689,3.46,5.78,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1985,"USA",220.23,1347254,6.24,4.19,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1986,"USA",210.48,1396601,2.53,4.13,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1987,"USA",216.45,1403727,2.63,4.5,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1988,"USA",257.16,1307400,5.1,0.4,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1989,"USA",271.4,1420885,3.74,6.65,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1990,"USA",253.01,1305539,2.95,5.54,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1991,"USA",267.24,1338360,2.85,0.65,6,"Gulf War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1992,"USA",280.48,1350108,3.97,0.14,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1993,"USA",301.27,1435059,5.19,0.8,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1994,"USA",289.48,1344064,3.77,12.18,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1995,"USA",340.66,1437965,3.13,3.18,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1996,"USA",333.58,1450810,-1.37,0.46,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1997,"USA",346.59,1407455,1.75,4.51,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1998,"USA",346.11,1409616,-1.07,2.27,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1999,"USA",404.04,1363208,2.24,4.02,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
2000,"USA",360.57,1497307,1.6,5.33,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
2001,"USA",547.8,1481408,0.65,1.46,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2002,"USA",595.35,1454165,3.76,8.29,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2003,"USA",650.93,1311093,-0.11,0.75,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2004,"USA",668.4,1497392,3.4,8.34,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2005,"USA",614.61,1482065,3.53,14.56,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2006,"USA",658.76,1377575,4.41,4.95,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2007,"USA",642.34,1444475,-0.62,9,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2008,"USA",668.24,1393848,-2.5,3.42,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2009,"USA",769.24,1427813,-2.5,2.64,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2010,"USA",802.93,1450580,4.92,2.55,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2011,"USA",584.44,1470806,2.29,1.54,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2012,"USA",656.67,1412566,1.03,1.27,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2013,"USA",632.56,1400235,0.1,2,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2014,"USA",636.24,1477247,6.03,4.21,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2015,"USA",707.62,1434415,6.77,3.68,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2016,"USA",756.96,1490710,2.67,1.22,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2017,"USA",788.07,1393468,2.03,8.62,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2018,"USA",801.9,1421172,-0.09,2.68,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2019,"USA",771,1404185,5.59,6.97,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2020,"USA",848.75,1496489,-3.4,10.04,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2021,"USA",1021.36,1316364,2.1,3.18,7,"War on Terror (Afghanistan/Iraq)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
2022,"USA",1064.27,1490347,5.67,0.71,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
2023,"USA",1073.56,1393610,2.2,4.76,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
2024,"USA",1117.42,1382986,3.06,1.13,4,"Middle East Deployments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1948,"Israel",0.51,375735,0.42,1.34,9,"Arab-Israeli War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1949,"Israel",0.5,163190,7.11,3.68,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1950,"Israel",0.53,195069,4.02,7.79,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1951,"Israel",0.63,140698,4.78,4.63,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1952,"Israel",0.58,194098,2.29,4.96,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1953,"Israel",0.68,163576,1.12,5.81,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1954,"Israel",0.62,167192,7.63,6.21,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1955,"Israel",0.65,163625,4.18,5.25,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1956,"Israel",0.77,186732,2.99,0.93,6,"Suez Crisis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1957,"Israel",0.76,157924,0.84,5.24,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1958,"Israel",0.86,181459,4.58,4.44,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1959,"Israel",0.89,175909,3.67,10.58,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1960,"Israel",0.82,165289,3.4,4.99,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1961,"Israel",0.99,195771,5.3,6.61,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1962,"Israel",0.91,182956,2.92,0.74,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1963,"Israel",0.99,157312,4.45,5.04,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1964,"Israel",1.03,170354,4.05,6.49,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1965,"Israel",1.1,192638,6.87,2.89,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1966,"Israel",1.15,150975,3.71,3.2,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1967,"Israel",3.01,386427,1.58,9.77,9,"Six-Day War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1968,"Israel",1.3,177732,4.68,10.63,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1969,"Israel",1.27,199852,2.2,6.48,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1970,"Israel",1.57,185445,1.36,10.49,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1971,"Israel",1.63,169548,3.38,1.49,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1972,"Israel",1.72,148415,2.77,9.31,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1973,"Israel",5.59,386540,4.44,3.55,10,"Yom Kippur War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1974,"Israel",1.94,178757,4.33,7.42,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1975,"Israel",1.73,172201,1.3,3.09,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1976,"Israel",2.03,185106,2.26,2.99,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1977,"Israel",2.17,182783,4,3.72,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1978,"Israel",1.98,168538,5.87,3.29,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1979,"Israel",2.23,177626,1.96,4.19,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1980,"Israel",2.31,141252,6.98,128.32,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1981,"Israel",2.7,195393,3.32,252.62,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1982,"Israel",4.23,357715,-0.06,136.84,7,"Lebanon War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1983,"Israel",2.75,191332,5.07,220.98,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1984,"Israel",2.65,159963,0.95,168.78,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1985,"Israel",2.82,157144,1.26,94.91,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1986,"Israel",3.45,164071,5.12,2.26,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1987,"Israel",3.15,176034,4.94,5.05,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1988,"Israel",3.29,163954,2.99,8.14,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1989,"Israel",3.99,153716,7.37,12.14,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1990,"Israel",3.56,182928,7.93,5.11,0,"None",27.9465207709517,0.243482687846156,62016729540.7093,7.3151991944807,13308.311060238,32.9509014306727,17.2553348050036,76.6073170731707,NA,23,"Paix"
1991,"Israel",3.8,162574,2.6,5.64,1,"None",23.9793403778088,0.486769098931952,70998755006.9019,7.72611510990106,14346.0810278646,31.7387408145862,19.1088798242862,76.7585365853659,13.387,20,"Conflit modéré"
1992,"Israel",3.92,193295,3.78,4.34,0,"None",24.4831613459911,0.740645784472681,79457685757.166,7.7592662201412,15509.9913638817,30.4240902028808,12.0653319283457,76.5048780487805,14.08,18,"Paix"
1993,"Israel",4.87,154178,2.94,3.27,2,"None",26.1045226543852,0.757489644348421,79855877174.4429,4.11675635714511,15178.8399875391,33.9095477830323,10.8838740009403,77.1536585365854,12.741,19,"Conflit modéré"
1994,"Israel",4.95,148717,0.97,9.1,1,"None",26.1098656045866,0.48666464040433,90740103828.6058,7.42784528286684,16806.8353081322,33.6778940731722,12.253550985796,77.4024390243903,9.934,25,"Conflit modéré"
1995,"Israel",4.98,144621,5.73,6.41,2,"None",25.8481878436735,1.27993653764054,105497418058.646,6.60292466276256,19025.6840502517,33.5412193312938,9.93389990557126,77.4512195121951,8.782,20,"Conflit modéré"
1996,"Israel",4.93,180940,3.28,7.71,2,"None",25.4379943512674,1.21363908773481,115116595544.694,5.83943847597874,20224.2789080629,32.6931414218062,11.4585122831129,78.1048780487805,8.455,18,"Conflit modéré"
1997,"Israel",5.27,148152,2.46,6.73,2,"None",26.282671247824,1.36765643310041,119459826346.611,3.61234610744576,20469.4699017497,31.2847740121409,8.95499383477184,78,9.751,25,"Conflit modéré"
1998,"Israel",6.18,169926,4.15,2.37,0,"None",26.9048646341312,1.441258680212,120547409278.703,4.11196396238032,20188.8141481667,29.9996020451865,5.48875371339656,78.1487804878049,10.749,27,"Paix"
1999,"Israel",6.02,184243,-0.35,3.83,0,"None",30.8005240292505,3.4179675619151,121417185061.719,3.29727980669843,19823.2138876277,33.9390615958789,5.18975459299983,78.6585365853659,11.183,30,"Paix"
2000,"Israel",6.63,166734,7.13,6.67,2,"None",33.7710777307984,5.89507316780042,136512300542.025,8.58208942390802,21706.5194056329,34.575781306185,1.03263640999489,78.9536585365854,11.102,35,"Conflit modéré"
2001,"Israel",6.46,155728,-0.02,8.2,0,"None",29.5058979011867,1.31205425123863,135002039612.906,0.277927326527333,20966.3052667971,32.6336868539683,1.12302839116721,79.4073170731707,11.812,50,"Paix"
2002,"Israel",7.65,194553,1.17,6.79,2,"None",30.8726038348007,1.26264306760422,125332331883.997,-0.134072634658438,19076.4584298321,34.5985015797975,5.80234589468429,79.4512195121951,12.888,55,"Conflit modéré"
2003,"Israel",6.86,143812,2.77,1.22,1,"None",32.6890976814998,2.52798678419127,131408914824.005,1.4490576944626,19643.4690380742,34.1926526883506,0.70763061681807,79.6487804878049,13.505,60,"Conflit modéré"
2004,"Israel",8.42,150589,4.1,2.51,0,"None",37.2034160019932,2.10420736029139,140047984605.087,4.64789744397389,20568.0694088834,37.7697835245215,-0.421595034547416,80.1463414634146,13.029,65,"Paix"
2005,"Israel",8.66,178110,4.35,7.72,2,"None",38.8199731456125,3.26627070729098,147519922009.047,4.38778887041551,21286.8388636595,39.50428823132,1.34070328119492,80.1512195121951,11.342,70,"Conflit modéré"
2006,"Israel",8.76,181605,3.98,6.35,6,"Second Lebanon War",39.0366654738202,9.05944013221796,158900547825.306,5.60162698158004,22527.2619795719,39.3986234980262,2.05407914587443,80.5536585365854,10.707,75,"Conflit intense"
2007,"Israel",8.5,178328,4.57,10.35,1,"None",38.7309427849305,4.76393877718242,184681214673.45,6.32334950499747,25721.2594077311,40.1061635147322,0.466226972936065,80.5048780487805,9.379,80,"Conflit modéré"
2008,"Israel",9.4,172043,2.18,6.92,0,"None",37.1735711862802,4.64409119960907,221231658862.876,3.22209599987266,30269.217773489,38.2073511193778,4.52744765138651,80.9512195121951,7.704,85,"Paix"
2009,"Israel",9.82,142048,0.95,7.39,0,"None",31.8215668375585,2.15877755898524,213403181852.86,1.23773159721814,28508.4938886475,29.8540811264115,3.3676231727125,81.4048780487805,9.534,90,"Paix"
2010,"Israel",10.03,172254,9.57,0.17,0,"None",33.5283775791883,2.91418894955553,239679036634.372,5.53434033902194,31439.0887027614,32.104702289727,2.70270270270273,81.6024390243903,8.48,95,"Paix"
2011,"Israel",9.74,199383,2.8,7.28,0,"None",34.1820194106911,3.22758725723671,268094998225.028,5.51879621371651,34522.5215979073,34.7274184390463,3.48837209302323,81.6560975609756,7.139,100,"Paix"
2012,"Israel",12.02,191976,2.55,12.3,2,"None",34.718418157701,3.42096752579402,263589172712.391,2.44716836741318,33321.4300881602,35.2466069250033,1.67553715750052,81.7048780487805,6.762,105,"Conflit modéré"
2013,"Israel",10.89,182078,4.34,5.27,2,"None",32.8051206257893,3.96752765564861,298478070673.058,4.08570918638205,37034.3161080785,31.3289305035608,1.58976347421476,82.0560975609756,6.137,80,"Conflit modéré"
2014,"Israel",11.77,145415,5.16,6.49,0,"None",31.4890595862987,1.9201815482971,315017088116.716,3.77582843213109,38343.3046626235,30.2242945297015,0.467557251908503,82.1536585365854,5.789,75,"Paix"
2015,"Israel",13.58,163325,3.12,6.38,2,"None",30.8618661959764,3.73553271836246,303469434072.296,2.23760317482488,36213.1041481958,28.0361057195896,-0.617342577642765,82.0512195121951,5.176,70,"Conflit modéré"
2016,"Israel",13.5,180345,3.45,6.82,1,"None",29.6960089388032,3.72366398162517,321940971558.016,4.45978271860821,37671.5389138798,28.1030227462751,-0.535168195718695,82.4073170731707,4.723,65,"Conflit modéré"
2017,"Israel",14.85,183303,7.54,3.8,2,"None",28.9776587580992,4.71262751632939,358451839052.991,4.3469311670646,41138.470964272,27.3024554959932,0.249807840123008,82.5512195121951,4.14,60,"Conflit modéré"
2018,"Israel",14.77,145984,4.04,10.03,0,"None",29.6925022331652,5.71739368118438,376299083108.497,4.00389862187025,42362.6652754196,29.0512520055796,0.805060379528526,82.8024390243903,3.917,55,"Paix"
2019,"Israel",16.11,151246,5.66,1.63,2,"None",28.9810422486608,4.33363467004394,400645216358.857,3.71049632750405,44250.6313628073,27.3443063939232,0.817645940292794,82.8048780487805,3.731,50,"Conflit modéré"
2020,"Israel",15.56,181157,-2.2,6.71,1,"None",27.1722994385229,5.1047506129271,410768352657.612,-2.02161548237589,44575.5719045492,24.0643743535137,-0.575254620897756,82.6487804878049,4.169,45,"Conflit modéré"
2021,"Israel",19,155374,3.97,8.16,1,"None",28.8234046153015,3.86849852798664,489851549972.347,9.38837403354628,52270.9040241956,26.0782795853972,1.47965474722561,82.5,4.812,70,"Conflit modéré"
2022,"Israel",16.77,173187,5.94,7.16,0,"None",31.3853280968641,4.35725962102686,525181008025.57,6.26326343841286,54949.621556429,29.2595245774311,4.41162725488371,82.7,3.695,75,"Paix"
2023,"Israel",47.01,459029,3.9,10.52,10,"Gaza/Regional War",30.4105026275679,3.15712318737314,512184638998.974,1.82652049482384,52003.7200729997,27.5798180861304,4.22522603168918,83.1951219512195,3.371,80,"Conflit intense"
2024,"Israel",51.37,495180,0.46,2.06,10,"Gaza/Regional War",28.4347615877701,2.73472411141711,540379921261.681,0.871968424377442,54176.6844383302,26.0172387092026,3.07480889805025,NA,3.595,85,"Conflit intense"
1948,"Iran",0.98,427834,3.28,10.98,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1949,"Iran",1.05,481886,5.13,5.5,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1950,"Iran",1.15,475885,2.96,8.68,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1951,"Iran",1.08,387219,2.29,13.91,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1952,"Iran",1.2,484869,2.25,8.51,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1953,"Iran",1.14,450158,1.39,7.81,4,"Coup d'état",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1954,"Iran",1.08,406264,1.91,11.98,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1955,"Iran",1.33,363224,3.08,7.16,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1956,"Iran",1.25,489649,0.39,1.65,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1957,"Iran",1.3,391914,1.25,9.55,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1958,"Iran",1.28,369956,3.04,12.09,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1959,"Iran",1.52,369097,2.96,6.68,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1960,"Iran",1.51,351759,3.53,9.93,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1961,"Iran",1.43,443501,2.35,8.36,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1962,"Iran",1.58,422847,2.07,10.32,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1963,"Iran",1.64,487717,-0.66,6.28,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1964,"Iran",1.69,415155,4.08,9.24,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1965,"Iran",1.5,453177,5.17,6.02,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1966,"Iran",1.61,455947,5.94,3.48,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1967,"Iran",1.86,426218,8.64,10.45,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1968,"Iran",1.92,422258,3.79,12.93,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1969,"Iran",2.03,437127,4.92,11.33,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
